siteid,sitename,county,itemid,itemname,itemengname,itemunit,monitordate,concentration
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 11:00",41
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 11:00",98
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 11:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 11:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 10:00",21
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 10:00",13
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 10:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 10:00",72.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 10:00",0.39
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 10:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 09:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 09:00",15.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 09:00",48
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 09:00",35.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 09:00",0.35
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 09:00",1.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 08:00",25
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 08:00",17.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 08:00",49
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 08:00",23.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 08:00",0.53
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 08:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 07:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 07:00",15.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 07:00",52
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 07:00",12
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 07:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 07:00",0.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 06:00",18
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 06:00",10.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 06:00",32
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 06:00",11.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 06:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 06:00",0.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 05:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 05:00",6.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 05:00",36
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 05:00",19.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 05:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 05:00",0.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 04:00",21
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 04:00",6.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 04:00",41
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 04:00",23
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 04:00",0.23
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 04:00",0.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 03:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 03:00",7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 03:00",41
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 03:00",22.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 03:00",0.26
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 03:00",0.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 02:00",32
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 02:00",10.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 02:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 02:00",21.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 02:00",0.35
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 02:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 01:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 01:00",11.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 01:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 01:00",20.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 01:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 01:00",0.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-15 00:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-15 00:00",13.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-15 00:00",50
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-15 00:00",23.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-15 00:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-15 00:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 23:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 23:00",13.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 23:00",47
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 23:00",28.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 23:00",0.42
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 23:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 22:00",28
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 22:00",19
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 22:00",56
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 22:00",27.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 22:00",0.45
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 22:00",2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 21:00",26
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 21:00",14.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 21:00",44
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 21:00",35
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 21:00",0.49
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 21:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 20:00",27
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 20:00",17.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 20:00",45
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 20:00",39.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 20:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 20:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 19:00",28
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 19:00",17.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 19:00",52
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 19:00",54.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 19:00",0.53
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 19:00",2.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 18:00",32
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 18:00",18.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 18:00",55
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 18:00",66.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 18:00",0.49
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 18:00",2.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 17:00",22
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 17:00",13.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 17:00",51
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 17:00",73.5
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 17:00",0.43
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 17:00",2.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 16:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 16:00",9.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 16:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 16:00",75.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 16:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 16:00",2.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 15:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 15:00",7.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 15:00",42
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 15:00",68.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 15:00",0.23
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 15:00",1.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 14:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 14:00",5.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 14:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 14:00",74
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 14:00",0.22
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 14:00",1.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 13:00",23
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 13:00",4.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 13:00",36
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 13:00",79.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 13:00",0.23
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 13:00",1.9
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 12:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 12:00",5.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 12:00",35
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 12:00",75.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 12:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 12:00",1.8
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 11:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 11:00",6.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 11:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 11:00",71.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 11:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 11:00",2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 10:00",10
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 10:00",7.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 10:00",32
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 10:00",54.5
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 10:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 10:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 09:00",9
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 09:00",12.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 09:00",39
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 09:00",24.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 09:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 09:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 08:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 08:00",11.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 08:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 08:00",16.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 08:00",0.45
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 08:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 07:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 07:00",11.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 07:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 07:00",8.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 07:00",0.46
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 07:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 06:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 06:00",10.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 06:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 06:00",5.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 06:00",0.41
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 06:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 05:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 05:00",10
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 05:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 05:00",6.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 05:00",0.28
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 05:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 04:00",11
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 04:00",7.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 04:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 04:00",8.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 04:00",0.27
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 04:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 03:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 03:00",6.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 03:00",30
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 03:00",10.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 03:00",0.18
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 03:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 02:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 02:00",5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 02:00",29
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 02:00",16.5
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 02:00",0.19
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 02:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 01:00",10
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 01:00",6.8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 01:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 01:00",16.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 01:00",0.23
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 01:00",1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-14 00:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-14 00:00",7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-14 00:00",31
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-14 00:00",17.5
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-14 00:00",0.25
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-14 00:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 23:00",17
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 23:00",12.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 23:00",38
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 23:00",14.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 23:00",0.34
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 23:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 22:00",16
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 22:00",9.6
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 22:00",37
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 22:00",20.6
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 22:00",0.36
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 22:00",1.4
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 21:00",20
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 21:00",12.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 21:00",32
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 21:00",22.7
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 21:00",0.45
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 21:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 20:00",13
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 20:00",16.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 20:00",36
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 20:00",21.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 20:00",0.55
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 20:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 19:00",19
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 19:00",14
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 19:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 19:00",31.9
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 19:00",0.5
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 19:00",1.6
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 18:00",13
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 18:00",10.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 18:00",30
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 18:00",45.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 18:00",0.37
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 18:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 17:00",12
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 17:00",8
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 17:00",33
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 17:00",57.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 17:00",0.3
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 17:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 16:00",15
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 16:00",5.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 16:00",30
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 16:00",60.5
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 16:00",0.22
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 16:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 15:00",8
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 15:00",5.2
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 15:00",29
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 15:00",60.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 15:00",0.21
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 15:00",1.7
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 14:00",7
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 14:00",4.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 14:00",19
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 14:00",52.2
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 14:00",0.17
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 14:00",1.5
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 13:00",8
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 13:00",3.7
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 13:00",17
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 13:00",46.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 13:00",0.15
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 13:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 12:00",7
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 12:00",4.3
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 12:00",16
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 12:00",41
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 12:00",0.14
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 12:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 11:00",7
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 11:00",4.5
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 11:00",22
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 11:00",41.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 11:00",0.15
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 11:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 10:00",8
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 10:00",5.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 10:00",23
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 10:00",37.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 10:00",0.15
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 10:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 09:00",8
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 09:00",8.4
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 09:00",28
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 09:00",28.8
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 09:00",0.22
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 09:00",1.3
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 08:00",6
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 08:00",7.9
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 08:00",23
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 08:00",25.1
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 08:00",0.26
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 08:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 07:00",9
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 07:00",7.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 07:00",23
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 07:00",23.4
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 07:00",0.24
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 07:00",1.1
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 06:00",7
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 06:00",4.1
30,大里,臺中市,4,懸浮微粒,PM10,μg/m3,"2022-09-13 06:00",20
30,大里,臺中市,3,臭氧,O3,ppb,"2022-09-13 06:00",26.3
30,大里,臺中市,2,一氧化碳,CO,ppm,"2022-09-13 06:00",0.15
30,大里,臺中市,1,二氧化硫,SO2,ppb,"2022-09-13 06:00",1.2
30,大里,臺中市,33,細懸浮微粒,PM2.5,μg/m3,"2022-09-13 05:00",7
30,大里,臺中市,7,二氧化氮,NO2,ppb,"2022-09-13 05:00",3.8
